date_of,ctl_loading_date,quan,quan_no_weak_dub,quan_no_dub,agg_quan,agg_quan_no_week_dub,agg_quan_no_dub
2018-09-05,2018-09-05,495,481,463,495,481,463
2019-12-19,2019-12-19,485,463,453,485,463,453
2018-08-08,2018-08-08,422,413,396,422,413,396
2023-04-05,2023-04-05,473,445,438,473,445,438
2020-10-01,2020-10-01,434,414,408,434,414,408
2021-08-31,2021-08-31,472,448,438,472,448,438
2019-11-20,2019-11-20,475,454,445,475,454,445
2022-05-02,2022-05-02,458,432,425,458,432,425
2021-03-07,2021-03-07,476,452,443,476,452,443
2019-11-08,2019-11-08,458,440,429,458,440,429
2022-02-21,2022-02-21,484,460,448,484,460,448
2019-03-19,2019-03-19,488,472,456,488,472,456
2019-02-18,2019-02-18,458,444,429,458,444,429
2020-08-25,2020-08-25,483,459,451,483,459,451
2020-05-28,2020-05-28,458,437,429,458,437,429
2019-03-04,2019-03-04,443,431,415,443,431,415
2018-10-08,2018-10-08,442,432,414,442,432,414
2021-06-12,2021-06-12,458,437,429,458,437,429
2021-03-14,2021-03-14,458,436,429,458,436,429
2022-03-12,2022-03-12,458,431,426,458,431,426
2021-12-16,2021-12-16,458,435,426,458,435,426
2022-06-09,2022-06-09,442,417,413,442,417,413
2023-03-19,2023-03-19,425,402,396,425,402,396
2021-09-08,2021-09-08,458,434,427,458,434,427
2020-02-03,2020-02-03,426,413,401,426,413,401
2023-04-03,2023-04-03,447,420,413,447,420,413
2020-03-16,2020-03-16,459,442,431,459,442,431
2021-03-31,2021-03-31,450,427,421,450,427,421
2019-04-12,2019-04-12,450,438,422,450,438,422
2020-03-14,2020-03-14,458,440,430,458,440,430
2020-10-22,2020-10-25,466,443,437,466,443,437
2021-01-10,2021-01-10,458,436,429,458,436,429
2019-12-15,2019-12-15,213,209,208,213,209,208
2020-05-11,2020-05-11,468,446,437,468,446,437
2021-03-01,2021-03-01,464,443,435,464,443,435
2022-01-16,2022-01-16,453,432,422,453,432,422
2021-07-20,2021-07-20,458,435,427,458,435,427
2019-05-19,2019-05-19,458,444,429,458,444,429
2022-02-06,2022-02-06,422,404,396,422,404,396
2023-02-09,2023-02-09,447,423,413,447,423,413
2019-02-14,2019-02-14,439,423,411,439,423,411
2021-04-26,2021-04-26,432,411,406,432,411,406
2018-12-06,2018-12-06,481,462,449,481,462,449
2022-06-21,2022-06-21,476,444,441,476,444,441
2019-11-19,2019-11-19,495,475,461,495,475,461
2018-10-06,2018-10-06,469,455,438,469,455,438
2020-11-27,2020-11-27,458,434,429,458,434,429
2020-05-31,2020-05-31,457,437,429,457,437,429
2021-04-25,2021-04-25,448,428,419,448,428,419
2019-01-06,2019-01-06,458,444,428,458,444,428
2021-01-18,2021-01-18,464,443,435,464,443,435
2018-04-26,2018-04-26,428,414,401,428,414,401
2021-09-13,2021-09-14,474,452,439,474,452,439
2018-08-25,2018-08-25,467,455,437,467,455,437
2022-06-05,2022-06-05,458,427,424,458,427,424
2022-08-29,2022-08-29,458,433,424,458,433,424
2019-09-06,2019-09-08,382,366,359,482,461,451
2020-11-19,2020-11-19,458,437,429,458,437,429
2019-08-11,2019-08-11,490,472,457,490,472,457
2021-07-23,2021-07-23,444,420,415,444,420,415
2023-02-13,2023-02-13,442,416,409,442,416,409
2023-12-17,2023-12-17,468,440,434,468,440,434
2022-03-29,2023-09-21,34,33,33,492,453,425
2022-05-03,2022-05-03,458,433,425,458,433,425
2022-02-13,2022-02-13,425,405,399,425,405,399
2018-10-22,2018-10-22,452,444,423,452,444,423
2021-11-16,2021-11-16,495,468,459,495,468,459
2023-02-03,2023-02-05,433,408,402,433,408,402
2023-04-24,2023-04-24,458,433,424,458,433,424
2022-10-29,2022-10-29,458,432,424,458,432,424
2021-03-13,2021-03-13,424,405,398,424,405,398
2023-07-29,2023-07-29,298,286,285,298,286,285
2023-11-28,2023-11-28,458,430,424,458,430,424
2021-05-12,2021-05-12,458,438,429,458,438,429
2023-01-09,2023-01-09,430,407,401,430,407,401
2019-05-14,2019-05-14,471,450,441,471,450,441
2021-05-16,2021-05-16,458,437,429,458,437,429
2020-07-15,2020-07-15,458,438,429,458,438,429
2022-05-07,2022-05-07,462,433,428,462,433,428
2018-11-15,2018-11-15,485,472,453,485,472,453
2020-04-28,2020-04-28,425,405,399,425,405,399
2022-12-10,2022-12-10,461,433,427,461,433,427
2023-08-12,2023-08-12,458,429,424,458,429,424
2023-05-08,2023-05-08,458,433,424,458,433,424
2023-12-14,2023-12-14,458,429,424,458,429,424
2020-09-06,2020-09-06,458,437,430,458,437,430
2018-07-02,2018-07-02,436,427,409,436,427,409
2021-08-15,2021-08-15,443,418,414,443,418,414
2021-08-04,2021-08-04,473,446,439,473,446,439
2021-08-05,2021-08-05,457,435,426,457,435,426
2019-03-07,2019-03-07,477,463,446,477,463,446
2018-08-14,2018-08-14,481,470,449,481,470,449
2022-11-08,2022-11-08,457,429,423,457,429,423
2023-11-06,2023-11-06,431,404,400,431,404,400
2021-05-28,2021-05-28,458,436,429,458,436,429
2021-05-25,2021-05-25,224,218,217,224,218,217
2023-02-28,2023-02-28,458,432,424,458,432,424
2022-10-24,2022-10-26,485,458,449,485,458,449
2022-07-20,2022-07-20,444,420,413,444,420,413
2021-02-20,2021-02-20,458,438,429,458,438,429
2020-05-29,2020-05-29,433,411,406,433,411,406
2024-03-09,2024-03-09,458,431,424,458,431,424
2018-12-01,2018-12-01,458,443,428,458,443,428
2021-12-06,2021-12-06,458,434,426,458,434,426
2024-01-24,2024-01-24,421,395,390,421,395,390
2019-01-19,2019-01-19,458,439,428,458,439,428
2018-04-30,2018-04-30,458,439,428,458,439,428
2020-03-24,2020-03-24,458,438,430,458,438,430
2021-09-21,2021-09-21,459,434,428,459,434,428
2021-10-06,2021-10-06,476,448,440,476,448,440
2022-02-24,2022-02-24,496,467,460,496,467,460
2022-05-12,2022-05-12,464,435,430,464,435,430
2018-06-05,2018-06-07,440,425,411,440,425,411
2019-02-22,2019-02-22,458,445,429,458,445,429
2018-12-28,2018-12-28,458,444,428,458,444,428
2018-06-28,2018-06-28,488,476,456,488,476,456
2022-03-24,2022-03-24,436,414,408,436,414,408
2023-03-11,2023-03-11,458,431,424,458,431,424
2021-03-30,2021-03-31,458,433,429,458,433,429
2021-03-08,2021-03-10,458,438,429,458,438,429
2020-07-27,2020-07-27,458,442,429,458,442,429
2023-05-27,2023-05-27,452,424,418,452,424,418
2019-07-17,2019-07-17,477,461,446,477,461,446
2018-08-27,2018-08-27,479,467,447,479,467,447
2024-02-24,2024-02-24,468,440,434,468,440,434
2020-03-10,2020-03-12,476,458,445,476,458,445
2018-10-09,2018-10-09,445,431,416,445,431,416
2019-04-05,2019-04-05,469,458,439,469,458,439
2020-10-17,2020-10-17,486,463,453,486,463,453
2018-11-03,2018-11-03,440,426,412,440,426,412
2020-01-07,2020-01-07,489,470,457,489,470,457
2024-01-02,2024-01-02,426,399,395,426,399,395
2019-12-01,2019-12-01,458,438,429,458,438,429
2023-08-27,2023-08-27,473,443,438,473,443,438
2018-12-27,2018-12-27,475,455,443,475,455,443
2022-04-08,2022-04-08,442,419,412,442,419,412
2023-08-09,2023-08-09,455,427,421,455,427,421
2018-10-18,2018-10-18,419,409,393,419,409,393
2020-09-04,2020-09-04,468,445,439,468,445,439
2019-07-06,2019-07-06,458,443,428,458,443,428
2020-04-03,2020-04-03,451,432,423,451,432,423
2023-09-04,2023-09-04,465,438,431,465,438,431
2023-09-02,2024-02-28,2,2,2,492,463,454
2022-09-24,2022-09-24,471,445,436,471,445,436
2019-02-08,2019-02-08,467,452,436,467,452,436
2019-06-25,2019-06-25,458,438,428,458,438,428
2020-12-25,2020-12-25,490,464,455,490,464,455
2022-11-06,2022-11-06,447,421,414,447,421,414
2022-10-20,2022-10-20,481,456,446,481,456,446
2018-05-05,2018-05-05,426,415,400,426,415,400
2018-07-10,2018-07-10,430,421,403,430,421,403
2022-10-26,2022-10-26,430,406,401,430,406,401
2020-03-12,2020-03-12,458,442,430,458,442,430
2021-04-18,2021-04-18,458,433,429,458,433,429
2023-02-06,2023-02-06,460,433,426,460,433,426
2024-01-06,2024-01-06,432,406,401,432,406,401
2021-03-21,2021-03-21,439,420,413,439,420,413
2023-05-17,2023-05-17,458,429,424,458,429,424
2020-03-22,2020-03-22,453,437,425,453,437,425
2021-04-14,2021-04-14,430,406,404,430,406,404
2018-07-12,2018-07-12,458,447,429,458,447,429
2019-01-25,2019-01-25,458,445,429,458,445,429
2022-01-09,2022-01-09,475,449,440,475,449,440
2019-09-20,2019-09-20,458,440,429,458,440,429
2019-07-03,2019-07-03,458,446,428,458,446,428
2018-12-16,2018-12-16,420,406,393,420,406,393
2023-04-21,2023-04-21,489,459,453,489,459,453
2020-04-11,2020-04-11,453,434,425,453,434,425
2020-02-13,2020-02-13,454,440,426,454,440,426
2019-04-11,2019-04-11,427,413,401,427,413,401
2023-07-31,2023-07-31,458,431,424,458,431,424
2023-04-30,2023-04-30,458,429,424,458,429,424
2024-03-11,2024-03-11,467,437,433,467,437,433
2019-10-08,2019-10-08,474,454,444,474,454,444
2023-02-25,2023-02-25,458,433,424,458,433,424
2019-10-21,2019-10-21,458,440,429,458,440,429
2022-05-18,2022-05-20,422,400,396,422,400,396
2021-10-28,2021-10-28,427,407,401,427,407,401
2022-09-17,2022-09-19,478,452,443,478,452,443
2020-01-20,2020-01-20,458,439,430,458,439,430
2022-04-25,2022-04-25,444,419,414,444,419,414
2021-09-28,2021-09-28,491,462,455,491,462,455
2020-07-08,2020-07-11,479,455,447,479,455,447
2022-08-23,2022-08-23,458,432,424,458,432,424
2023-07-22,2023-07-22,432,402,399,432,402,399
2020-08-14,2020-08-14,419,399,394,419,399,394
2019-05-10,2019-05-13,458,444,429,458,444,429
2022-09-03,2022-09-03,491,463,455,491,463,455
2019-08-09,2019-08-11,458,437,428,458,437,428
2023-04-12,2023-04-12,458,429,424,458,429,424
2022-07-26,2022-07-26,495,469,459,495,469,459
2023-11-13,2023-11-13,468,439,434,468,439,434
2021-09-19,2021-09-19,458,433,427,458,433,427
2023-06-19,2023-06-19,483,454,447,483,454,447
2020-04-07,2020-12-13,15,15,15,488,465,442
2021-04-08,2021-04-08,419,398,393,419,398,393
2023-06-02,2023-06-04,497,468,461,497,468,461
2024-02-08,2024-02-11,433,407,402,433,407,402
2023-07-09,2023-07-09,493,464,457,493,464,457
2021-03-06,2021-03-06,484,462,449,484,462,449
2020-06-14,2020-06-14,420,400,394,420,400,394
2023-07-14,2023-07-14,494,463,458,494,463,458
2021-10-02,2021-10-02,431,411,404,431,411,404
2018-08-28,2018-08-28,459,444,429,459,444,429
2022-09-11,2022-09-11,441,418,410,441,418,410
2023-11-14,2023-11-14,452,419,418,452,419,418
2021-11-21,2021-11-21,462,438,430,462,438,430
2020-11-11,2020-11-11,427,407,401,427,407,401
2019-06-08,2019-06-08,448,431,420,448,431,420
2019-09-14,2019-09-14,465,449,436,465,449,436
2018-10-17,2018-10-17,439,427,411,439,427,411
2020-08-21,2020-08-21,450,431,423,450,431,423
2019-02-07,2019-02-07,458,448,429,458,448,429
2019-03-17,2019-03-17,458,448,429,458,448,429
2024-01-11,2024-01-11,483,454,447,483,454,447
2022-08-25,2022-08-30,439,410,405,458,429,424
2018-07-08,2018-07-08,450,435,421,450,435,421
2018-09-10,2023-04-07,26,26,26,482,467,427
2024-01-08,2024-01-08,458,430,424,458,430,424
2023-07-30,2023-07-30,493,463,457,493,463,457
2021-04-04,2021-04-04,419,398,393,419,398,393
2023-11-30,2023-11-30,458,429,424,458,429,424
2022-08-20,2022-08-20,458,426,424,458,426,424
2021-08-12,2021-08-12,458,436,427,458,436,427
2023-07-12,2023-07-12,486,455,450,486,455,450
2019-06-28,2019-06-28,452,433,424,452,433,424
2021-02-05,2021-02-05,489,465,453,489,465,453
2021-09-05,2021-09-08,458,430,427,458,430,427
2019-08-13,2019-08-13,429,414,402,429,414,402
2023-02-14,2023-02-14,458,430,424,458,430,424
2022-01-23,2022-01-26,100,97,93,459,438,427
2020-09-18,2020-09-18,458,438,430,458,438,430
2023-09-01,2023-09-01,458,426,424,458,426,424
2020-02-24,2020-02-24,458,440,430,458,440,430
2020-03-26,2020-03-26,458,441,430,458,441,430
2023-04-06,2023-04-06,429,403,398,429,403,398
2020-11-13,2020-11-13,458,437,429,458,437,429
2022-11-02,2022-11-02,445,421,413,445,421,413
2020-05-18,2020-05-18,458,435,430,458,435,430
2019-08-30,2019-08-30,423,406,398,423,406,398
2022-11-17,2022-11-17,458,431,424,458,431,424
2022-03-22,2022-03-26,195,185,180,485,457,449
2022-01-21,2022-01-21,438,415,410,438,415,410
2021-12-14,2021-12-14,458,432,426,458,432,426
2020-03-23,2020-03-23,458,440,430,458,440,430
2018-05-24,2018-05-24,458,443,428,458,443,428
2020-10-24,2020-10-25,458,435,430,458,435,430
2019-04-23,2019-04-23,458,451,429,458,451,429
2024-01-17,2024-01-17,458,430,424,458,430,424
2019-09-19,2019-09-19,453,437,424,453,437,424
2019-09-30,2019-09-30,473,455,443,473,455,443
2023-08-30,2024-01-16,26,25,25,491,450,431
2021-06-04,2021-06-04,494,471,458,494,471,458
2023-11-04,2023-11-04,458,430,424,458,430,424
2023-04-04,2023-04-04,458,430,424,458,430,424
2018-12-02,2018-12-02,490,471,458,490,471,458
2023-01-11,2023-01-11,458,434,424,458,434,424
2019-12-20,2019-12-20,449,430,420,449,430,420
2019-12-28,2019-12-28,437,422,410,437,422,410
2024-01-31,2024-01-31,463,433,429,463,433,429
2023-01-05,2023-01-05,458,429,424,458,429,424
2023-07-25,2023-07-25,441,414,408,441,414,408
2024-01-03,2024-01-03,458,429,424,458,429,424
2020-10-10,2020-10-10,458,435,430,458,435,430
2019-06-13,2019-06-13,458,445,428,458,445,428
2021-07-30,2021-07-30,484,461,448,484,461,448
2023-03-14,2023-03-18,190,180,176,248,233,228
2019-08-28,2019-08-28,439,421,411,439,421,411
2020-06-26,2020-06-26,452,433,424,452,433,424
2024-02-15,2024-02-15,479,449,444,479,449,444
2019-03-02,2019-03-02,472,455,441,472,455,441
2019-07-23,2019-07-23,458,442,428,458,442,428
2023-05-18,2023-05-18,434,409,401,434,409,401
2021-06-30,2021-06-30,458,431,428,458,431,428
2023-06-13,2023-06-13,444,414,410,444,414,410
2023-01-18,2023-01-18,458,434,424,458,434,424
2021-10-23,2021-10-23,458,431,427,458,431,427
2019-03-29,2019-03-29,458,444,429,458,444,429
2021-01-21,2021-01-21,433,414,407,433,414,407
2021-10-25,2021-10-25,496,468,460,496,468,460
2021-08-08,2021-08-08,427,407,401,427,407,401
2020-08-03,2020-08-03,458,439,430,458,439,430
2022-02-10,2022-02-10,459,435,427,459,435,427
2020-02-08,2020-02-08,487,467,456,487,467,456
2022-10-22,2022-10-26,477,454,442,477,454,442
2021-01-22,2021-01-22,434,413,408,434,413,408
2021-06-07,2021-06-15,149,143,140,458,435,429
2020-10-26,2020-10-26,458,436,429,458,436,429
2018-06-02,2018-06-02,494,480,461,494,480,461
2020-02-14,2020-02-14,492,471,459,492,471,459
2019-06-13,2023-04-04,4,4,4,462,449,428
2018-11-11,2018-11-11,467,451,436,467,451,436
2018-09-25,2018-09-25,448,434,419,448,434,419
2024-01-19,2024-01-19,458,428,424,458,428,424
2018-06-18,2018-06-18,458,441,429,458,441,429
2023-10-19,2023-10-19,428,402,396,428,402,396
2023-10-07,2023-10-07,485,456,449,485,456,449
2019-01-27,2019-01-27,450,435,421,450,435,421
2019-04-10,2019-04-10,446,433,418,446,433,418
2020-08-23,2020-08-24,482,459,450,482,459,450
2022-05-14,2022-05-14,440,416,411,440,416,411
2019-05-29,2019-05-29,478,459,448,478,459,448
2018-05-13,2018-05-13,443,429,414,443,429,414
2019-08-02,2022-02-14,4,4,4,466,447,432
2018-07-17,2018-07-17,446,435,418,446,435,418
2021-06-28,2021-06-28,493,466,457,493,466,457
2021-11-14,2021-11-14,425,406,400,425,406,400
2019-08-24,2019-08-24,487,472,454,487,472,454
2023-01-23,2023-01-23,439,413,408,439,413,408
2021-10-11,2021-10-11,420,397,394,420,397,394
2018-06-09,2018-06-09,458,445,428,458,445,428
2021-12-24,2021-12-24,474,446,439,474,446,439
2023-11-02,2023-11-02,454,424,420,454,424,420
2018-04-29,2018-04-29,458,446,428,458,446,428
2023-09-05,2023-09-05,458,428,424,458,428,424
2022-07-24,2022-07-24,470,443,436,470,443,436
2022-08-14,2022-08-14,101,99,98,101,99,98
2023-10-25,2023-10-25,458,430,424,458,430,424
2019-06-04,2019-06-04,458,442,429,458,442,429
2021-01-31,2021-01-31,483,457,450,483,457,450
2018-04-10,2018-04-10,476,469,445,476,469,445
2022-12-08,2022-12-08,494,468,458,494,468,458
2019-05-17,2019-05-17,470,449,440,470,449,440
2021-04-07,2021-04-07,458,436,429,458,436,429
2023-11-26,2023-11-26,458,428,424,458,428,424
2021-06-17,2021-06-17,437,419,410,437,419,410
2020-10-28,2020-10-28,429,408,403,429,408,403
2018-11-21,2018-11-21,491,473,458,491,473,458
2021-01-23,2021-01-23,489,462,453,489,462,453
2020-08-13,2020-08-13,441,421,414,441,421,414
2019-01-29,2019-01-29,488,475,456,488,475,456
2023-05-04,2023-05-04,454,426,420,454,426,420
2021-12-10,2021-12-10,458,431,426,458,431,426
2018-07-23,2018-07-23,441,429,413,441,429,413
2018-12-20,2018-12-20,432,417,404,432,417,404
2024-02-07,2024-02-11,441,414,408,441,414,408
2022-10-08,2024-02-14,8,8,8,488,459,445
2019-03-16,2019-03-16,458,441,429,458,441,429
2020-07-24,2020-07-25,431,411,404,431,411,404
2023-09-29,2023-09-29,426,401,395,426,401,395
2020-01-19,2020-01-19,466,449,437,466,449,437
2019-04-04,2019-04-04,453,439,425,453,439,425
2019-02-23,2019-02-23,458,443,429,458,443,429
2020-09-26,2023-04-10,5,5,5,458,437,426
2021-08-17,2021-08-17,468,442,435,468,442,435
2022-05-05,2022-05-05,458,431,425,458,431,425
2023-02-04,2023-02-05,461,435,427,461,435,427
2018-04-21,2018-04-21,495,480,462,495,480,462
2022-06-02,2022-06-02,458,432,425,458,432,425
2023-08-06,2023-08-06,458,430,424,458,430,424
2021-12-01,2021-12-01,488,462,452,488,462,452
2023-09-16,2023-09-16,468,440,434,468,440,434
2018-04-09,2018-04-09,435,423,407,435,423,407
2023-02-15,2023-02-15,491,462,455,491,462,455
2020-12-17,2020-12-17,489,467,454,489,467,454
2018-11-30,2018-11-30,458,443,428,458,443,428
2023-08-01,2023-08-01,474,444,439,474,444,439
2022-02-01,2022-02-01,495,470,459,495,470,459
2021-12-15,2021-12-15,458,429,426,458,429,426
2022-04-13,2022-04-13,458,435,425,458,435,425
2023-08-30,2023-08-30,465,436,431,465,436,431
2021-11-12,2021-11-13,485,460,449,485,460,449
2022-06-26,2022-06-26,480,453,445,480,453,445
2019-02-25,2019-02-25,456,439,427,456,439,427
2021-05-02,2021-05-02,430,409,404,430,409,404
2019-12-12,2019-12-12,458,440,429,458,440,429
2021-06-21,2021-06-21,439,419,412,439,419,412
2023-04-22,2023-04-22,458,430,424,458,430,424
2021-06-19,2021-06-19,423,404,397,423,404,397
2019-07-30,2019-07-30,448,434,420,448,434,420
2019-01-21,2019-01-21,494,475,460,494,475,460
2021-01-19,2021-01-19,421,403,396,421,403,396
2021-06-25,2021-06-25,423,401,397,423,401,397
2023-11-21,2023-11-21,458,432,424,458,432,424
2021-11-08,2021-11-08,440,417,412,440,417,412
2022-04-19,2022-04-19,460,434,426,460,434,426
2018-05-21,2018-05-21,443,432,414,443,432,414
2022-10-23,2022-10-26,472,444,437,472,444,437
2020-04-05,2020-04-05,424,402,398,424,402,398
2021-11-22,2021-11-22,448,424,419,448,424,419
2023-09-07,2023-09-07,474,447,439,474,447,439
2020-09-05,2020-09-05,431,408,405,431,408,405
2021-07-15,2021-07-18,444,420,415,444,420,415
2021-06-24,2021-06-24,426,405,400,426,405,400
2022-02-15,2022-02-15,431,410,403,431,410,403
2021-10-20,2021-10-20,458,434,427,458,434,427
2019-03-31,2019-03-31,458,441,429,458,441,429
2024-01-14,2024-01-14,492,462,456,492,462,456
2021-03-22,2021-03-22,458,437,429,458,437,429
2023-09-23,2023-09-23,490,460,454,490,460,454
2018-06-22,2018-06-26,436,426,409,436,426,409
2020-02-20,2020-02-20,466,450,437,466,450,437
2023-03-16,2023-03-16,420,395,392,420,395,392
2019-05-04,2019-05-06,464,446,434,464,446,434
2021-04-05,2021-04-05,461,440,432,461,440,432
2021-12-05,2021-12-05,458,431,426,458,431,426
2021-04-23,2021-04-23,458,434,429,458,434,429
2021-02-11,2021-02-11,458,436,429,458,436,429
2023-03-12,2023-03-12,438,415,405,438,415,405
2024-02-25,2024-02-25,458,428,424,458,428,424
2022-04-21,2022-04-21,457,433,424,457,433,424
2023-02-11,2023-02-14,434,406,403,434,406,403
2019-03-14,2019-03-14,464,446,433,464,446,433
2018-07-20,2018-07-20,431,421,404,431,421,404
2019-02-05,2019-02-05,474,460,443,474,460,443
2021-01-02,2021-01-02,483,459,450,483,459,450
2022-01-05,2022-01-05,419,398,394,419,398,394
2021-08-01,2021-08-01,485,456,449,485,456,449
2021-02-09,2021-02-09,458,438,429,458,438,429
2022-12-29,2022-12-29,425,400,397,425,400,397
2021-07-14,2021-07-18,478,447,443,478,447,443
2021-02-23,2021-02-23,435,414,409,435,414,409
2023-08-04,2023-08-04,458,429,424,458,429,424
2019-03-28,2019-03-28,479,466,448,479,466,448
2020-05-10,2020-05-10,492,467,457,492,467,457
2018-07-29,2018-07-29,108,107,107,108,107,107
2018-09-19,2018-09-19,458,444,428,458,444,428
2019-01-31,2019-01-31,486,473,455,486,473,455
2022-09-28,2022-09-28,481,457,446,481,457,446
2023-12-01,2023-12-01,458,429,424,458,429,424
2022-05-25,2022-05-25,452,428,421,452,428,421
2023-09-17,2023-09-17,458,432,424,458,432,424
2023-04-18,2023-04-20,456,429,422,490,462,454
2018-11-23,2018-11-23,482,467,450,482,467,450
2020-02-26,2020-02-26,470,450,440,470,450,440
2020-12-19,2020-12-19,458,438,429,458,438,429
2021-10-31,2021-10-31,442,419,414,442,419,414
2021-12-18,2021-12-18,449,426,419,449,426,419
2020-10-19,2020-10-19,458,435,430,458,435,430
2023-03-03,2023-03-03,482,453,447,482,453,447
2021-11-07,2021-11-07,497,472,461,497,472,461
2019-06-18,2019-06-18,432,412,405,432,412,405
2021-11-06,2021-11-06,470,442,436,470,442,436
2023-02-20,2023-02-20,458,431,424,458,431,424
2022-03-25,2022-03-25,420,397,394,420,397,394
2021-12-28,2021-12-28,435,412,407,435,412,407
2018-08-08,2019-10-19,3,3,3,425,416,396
2022-07-12,2022-07-15,458,432,424,458,432,424
2022-07-01,2022-07-01,449,422,418,449,422,418
2018-09-15,2018-09-15,473,457,442,473,457,442
2018-07-24,2018-07-24,497,483,465,497,483,465
2019-07-12,2019-07-12,428,410,401,428,410,401
2020-03-06,2020-03-06,437,417,411,437,417,411
2023-01-17,2023-01-17,458,431,424,458,431,424
2018-07-16,2018-07-16,458,445,429,458,445,429
2023-04-08,2023-04-11,120,116,111,495,467,459
2018-05-18,2018-05-18,477,462,445,477,462,445
2018-05-15,2018-05-15,458,445,428,458,445,428
2022-01-01,2022-01-01,465,440,431,465,440,431
2020-10-14,2020-10-14,458,438,430,458,438,430
2021-04-30,2021-04-30,440,420,413,440,420,413
2022-11-24,2022-11-24,449,423,415,449,423,415
2020-10-05,2020-10-05,454,431,427,454,431,427
2020-01-01,2020-01-01,488,470,456,488,470,456
2023-12-09,2023-12-09,461,432,427,461,432,427
2020-01-28,2020-01-28,492,475,459,492,475,459
2019-06-28,2022-06-12,29,29,29,481,458,424
2019-10-12,2019-10-12,458,439,429,458,439,429
2020-03-31,2020-03-31,422,400,397,422,400,397
2020-10-21,2020-10-21,487,466,454,487,466,454
2022-07-31,2022-07-31,423,402,396,423,402,396
2018-04-17,2018-04-17,424,414,398,424,414,398
2023-01-30,2023-01-30,434,408,403,434,408,403
2023-07-02,2023-07-03,432,405,399,432,405,399
2018-07-11,2018-07-11,437,427,409,437,427,409
2021-09-01,2021-09-01,421,400,395,421,400,395
2021-11-25,2021-11-25,481,454,446,481,454,446
2023-11-22,2023-11-22,468,442,434,468,442,434
2022-10-19,2022-10-19,458,431,424,458,431,424
2022-06-28,2022-06-28,435,412,407,435,412,407
2023-12-27,2023-12-27,437,411,405,437,411,405
2022-02-22,2022-02-22,466,436,431,466,436,431
2020-07-01,2020-07-01,493,470,458,493,470,458
2020-03-28,2020-03-28,463,444,434,463,444,434
2022-04-05,2022-04-05,482,457,447,482,457,447
2022-12-14,2022-12-14,454,427,420,454,427,420
2024-02-14,2024-02-14,458,427,424,458,427,424
2022-04-20,2022-04-20,458,431,424,458,431,424
2022-12-24,2022-12-24,496,467,460,496,467,460
2019-08-25,2019-08-25,460,440,430,460,440,430
2019-10-29,2019-10-29,458,440,429,458,440,429
2021-05-24,2021-05-24,449,427,420,449,427,420
2018-09-23,2018-09-23,432,420,404,432,420,404
2020-08-20,2020-08-20,436,416,409,436,416,409
2018-07-03,2018-07-03,484,468,452,484,468,452
2020-08-09,2020-08-09,458,439,430,458,439,430
2018-05-10,2018-05-10,458,448,428,458,448,428
2020-05-14,2020-05-14,458,438,430,458,438,430
2021-01-13,2021-01-13,488,463,453,488,463,453
2022-07-30,2022-07-30,462,435,428,462,435,428
2019-11-15,2019-11-18,458,440,429,458,440,429
2022-04-16,2022-04-16,463,436,428,463,436,428
2023-12-20,2023-12-20,472,443,437,472,443,437
2023-07-04,2023-07-04,429,404,398,429,404,398
2020-04-29,2020-04-29,458,436,430,458,436,430
2018-04-25,2018-04-25,492,478,459,492,478,459
2021-06-10,2021-06-10,458,435,429,458,435,429
2023-07-26,2023-07-26,487,459,451,487,459,451
2023-03-10,2023-03-10,470,443,436,470,443,436
2018-11-02,2018-11-02,458,441,428,458,441,428
2022-01-31,2022-01-31,427,404,400,427,404,400
2019-07-15,2019-07-15,452,437,423,452,437,423
2020-06-04,2020-06-04,436,415,409,436,415,409
2018-09-20,2018-09-20,458,441,428,458,441,428
2022-06-11,2022-06-11,495,468,459,495,468,459
2019-06-12,2019-06-12,425,409,399,425,409,399
2019-11-03,2019-11-04,439,425,412,439,425,412
2021-11-17,2022-10-18,29,29,29,487,457,427
2022-08-08,2022-08-08,426,402,399,426,402,399
2019-12-31,2019-12-31,445,426,417,445,426,417
2021-12-17,2021-12-20,200,190,187,435,413,407
2018-05-21,2019-05-03,32,32,32,475,463,414
2019-04-24,2019-04-24,458,443,429,458,443,429
2021-11-28,2021-11-28,421,400,396,421,400,396
2019-06-15,2019-06-15,429,411,402,429,411,402
2023-09-14,2023-09-18,476,447,441,476,447,441
2023-07-18,2023-07-18,458,429,424,458,429,424
2023-04-13,2023-04-13,458,426,424,458,426,424
2021-03-20,2021-03-20,444,423,417,444,423,417
2018-06-15,2018-06-15,429,420,401,429,420,401
2020-07-02,2020-07-02,458,438,429,458,438,429
2018-07-13,2018-07-13,426,416,399,426,416,399
2021-02-01,2021-02-01,458,437,429,458,437,429
2019-04-27,2019-04-27,426,412,400,426,412,400
2022-09-09,2022-09-11,430,406,403,430,406,403
2019-12-13,2019-12-13,455,436,426,455,436,426
2020-05-01,2020-05-01,497,475,462,497,475,462
2021-06-26,2021-06-26,428,408,402,428,408,402
2023-02-24,2023-02-25,467,440,433,467,440,433
2018-07-30,2018-07-30,466,449,436,466,449,436
2022-04-01,2022-04-01,458,433,425,458,433,425
2023-04-27,2023-04-27,458,429,424,458,429,424
2021-03-29,2021-03-31,423,402,397,423,402,397
2021-03-24,2021-03-24,458,435,429,458,435,429
2021-07-12,2021-07-12,431,408,405,431,408,405
